Category,Term,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR
GOTERM_BP_FAT,GO:0007049~cell cycle,167,16.63346614,3.48E-30,"ZWILCH, HJURP, DIXDC1, BUB1B, MKI67, SMC4, IGF1R, SMC2, EPS8, D7ERTD443E, TUBB5, CCND2, CCND1, PTTG1, MYC, INSC, CFL1, CHEK1, STMN1, NUSAP1, HMCN1, SOX9, SKP2, SOX4, LIG1, PRKCE, NSMCE2, CIRBP, VRK1, SOX11, ESCO2, SFRP1, MELK, CCNE1, FANCD2, ZFYVE19, TXNIP, FAM64A, DNA2, KIF20B, EZR, MAD1L1, CDCA2, CDCA3, GATA6, CDCA8, KLHL13, NCAPH, ZFP36L1, BRIP1, DSN1, BCL2L11, RACGAP1, EIF4EBP1, CEP72, CLSPN, ECT2, MYH10, EVI5, PLK4, AFAP1L2, STIL, UBE2C, PLK2, IGF2, DSTN, CDC7, BMP7, PBX1, ANLN, TPX2, CDK6, NASP, ID2, CDK2, CDK1, INTS7, CNTROB, CDK14, EZH2, CDKN1C, TOP2A, CDKN1B, MCM7, NCAPG2, CEP164, CETN3, CHD3, PTPRK, BRCA1, KIF11, HMGB1, FOXM1, LMNB1, CKS1B, CHAF1B, SEPT6, MIS18BP1, CASP3, CASP2, MYBL2, TOPBP1, POLE, UTP14B, CEP55, YWHAH, TCF19, KLF11, HELLS, H2AFX, KIF23, KIF22, PARD3B, CIT, CCNA2, ASPM, SFPQ, RAD51C, DBF4, PSRC1, RBL1, ESPL1, KIFC1, INCENP, MCM3, BIRC5, MCM4, MCM5, KIF2C, FAM32A, MCM6, ARHGEF2, MCM2, SRC, UHRF1, PDXP, HDAC8, SLFN9, THBS1, GNAI1, RNF2, NSL1, AURKB, AURKA, E2F1, E2F7, E2F8, CENPT, TCF7L2, RRM1, TCF7L1, SEPT11, NPM1, ATAD5, SPAG5, FEM1B, CENPE, APITD1, RAD51, PRC1, CCDC8, TACC3, SPRY2, TRIP13, SPC24, MAD2L1, SPC25",819,1440,17911,2.536237451,2.32E-26,2.32E-26,2.14E-26
GOTERM_BP_FAT,GO:0051301~cell division,91,9.06374502,1.44E-26,"TOP2A, ZWILCH, NCAPG2, CEP164, CETN3, DOCK7, DIXDC1, BUB1B, KIF11, SMC4, IGF1R, SMC2, CKS1B, SEPT6, CCND2, CCND1, PTTG1, MIS18BP1, MDK, MYC, CFL1, STMN1, NUSAP1, HMCN1, CEP55, SOX5, HELLS, LIG1, PRKCE, NSMCE2, KIF23, VRK1, CIT, PARD3B, CCNA2, ASPM, PSRC1, KIFC1, CCNE1, INCENP, ZFYVE19, TXNIP, BIRC5, FAM64A, MCM5, KIF2C, ARHGEF2, KIF20B, MAD1L1, CDCA2, CDCA3, CDCA8, PDXP, PTN, KLHL13, NSL1, AURKB, THBS4, GNAI1, NCAPH, AURKA, BRIP1, DSN1, RACGAP1, ECT2, MYH10, EVI5, E2F7, E2F8, CENPT, SEPT11, SPAG5, UBE2C, IGF2, VEGFC, DSTN, CDC7, ANLN, TPX2, CENPE, VANGL2, CDK6, APITD1, PRC1, CDK2, CDK1, CNTROB, CDK14, SPC24, SPC25, MAD2L1",819,554,17911,3.592258323,9.58E-23,4.79E-23,4.43E-23
GOTERM_BP_FAT,GO:0000278~mitotic cell cycle,109,10.85657371,1.69E-25,"ZWILCH, BUB1B, MKI67, SMC4, IGF1R, SMC2, EPS8, D7ERTD443E, CCND2, CCND1, PTTG1, INSC, CFL1, CHEK1, STMN1, NUSAP1, SKP2, SOX4, LIG1, NSMCE2, VRK1, CCNE1, FAM64A, DNA2, KIF20B, MAD1L1, CDCA2, CDCA3, CDCA8, KLHL13, NCAPH, ZFP36L1, DSN1, RACGAP1, EIF4EBP1, CLSPN, MYH10, STIL, UBE2C, PLK2, IGF2, CDC7, BMP7, PBX1, ANLN, TPX2, ID2, CDK2, CDK1, CNTROB, CDK14, EZH2, CDKN1C, TOP2A, CDKN1B, NCAPG2, CEP164, CETN3, KIF11, HMGB1, FOXM1, LMNB1, CKS1B, MIS18BP1, CASP2, MYBL2, TOPBP1, POLE, CEP55, YWHAH, TCF19, KLF11, HELLS, KIF23, KIF22, CIT, CCNA2, ASPM, RAD51C, DBF4, PSRC1, ESPL1, KIFC1, INCENP, BIRC5, KIF2C, ARHGEF2, PDXP, SLFN9, RNF2, NSL1, AURKB, AURKA, E2F1, E2F7, E2F8, CENPT, RRM1, TCF7L1, ATAD5, SPAG5, CENPE, APITD1, CCDC8, TACC3, SPRY2, SPC24, MAD2L1, SPC25",819,787,17911,3.028919267,1.12E-21,3.75E-22,3.47E-22
GOTERM_BP_FAT,GO:0022402~cell cycle process,133,13.24701195,3.95E-25,"ZWILCH, BUB1B, MKI67, SMC4, IGF1R, SMC2, EPS8, D7ERTD443E, TUBB5, CCND2, CCND1, PTTG1, MYC, INSC, CFL1, CHEK1, STMN1, NUSAP1, SKP2, SOX4, LIG1, PRKCE, NSMCE2, CIRBP, VRK1, SOX11, CCNE1, FANCD2, ZFYVE19, FAM64A, DNA2, KIF20B, EZR, MAD1L1, CDCA2, CDCA3, GATA6, CDCA8, KLHL13, NCAPH, ZFP36L1, BRIP1, DSN1, RACGAP1, EIF4EBP1, CEP72, CLSPN, ECT2, MYH10, PLK4, STIL, UBE2C, PLK2, IGF2, DSTN, CDC7, BMP7, PBX1, ANLN, TPX2, ID2, CDK2, CDK1, INTS7, CNTROB, CDK14, EZH2, CDKN1C, TOP2A, CDKN1B, NCAPG2, CEP164, CETN3, CHD3, BRCA1, KIF11, FOXM1, LMNB1, CKS1B, MIS18BP1, CASP2, MYBL2, TOPBP1, POLE, CEP55, YWHAH, TCF19, KLF11, HELLS, H2AFX, KIF23, KIF22, CIT, CCNA2, ASPM, SFPQ, RAD51C, DBF4, PSRC1, ESPL1, KIFC1, INCENP, BIRC5, KIF2C, ARHGEF2, PDXP, HDAC8, SLFN9, THBS1, NSL1, AURKB, AURKA, E2F1, E2F7, E2F8, CENPT, TCF7L2, TCF7L1, NPM1, ATAD5, SPAG5, FEM1B, CENPE, APITD1, RAD51, PRC1, CCDC8, TACC3, SPRY2, TRIP13, SPC24, MAD2L1, SPC25",819,1109,17911,2.622744753,2.63E-21,6.57E-22,6.08E-22
GOTERM_BP_FAT,GO:1903047~mitotic cell cycle process,100,9.960159363,2.63E-24,"ZWILCH, BUB1B, SMC4, IGF1R, SMC2, EPS8, D7ERTD443E, CCND2, CCND1, PTTG1, INSC, CFL1, CHEK1, STMN1, NUSAP1, SKP2, SOX4, LIG1, NSMCE2, VRK1, CCNE1, FAM64A, DNA2, KIF20B, MAD1L1, CDCA2, CDCA3, CDCA8, KLHL13, NCAPH, ZFP36L1, DSN1, RACGAP1, EIF4EBP1, CLSPN, MYH10, STIL, UBE2C, PLK2, IGF2, CDC7, BMP7, PBX1, ANLN, TPX2, ID2, CDK2, CDK1, CNTROB, CDK14, EZH2, CDKN1C, TOP2A, CDKN1B, NCAPG2, CEP164, CETN3, KIF11, FOXM1, LMNB1, CKS1B, MIS18BP1, CASP2, MYBL2, TOPBP1, POLE, CEP55, TCF19, KLF11, HELLS, KIF23, KIF22, CIT, CCNA2, ASPM, RAD51C, DBF4, PSRC1, ESPL1, KIFC1, INCENP, BIRC5, KIF2C, ARHGEF2, SLFN9, NSL1, AURKB, AURKA, E2F1, E2F7, CENPT, TCF7L1, SPAG5, CENPE, APITD1, TACC3, SPRY2, SPC24, MAD2L1, SPC25",819,702,17911,3.115292432,1.75E-20,3.51E-21,3.24E-21
GOTERM_BP_FAT,GO:0051128~regulation of cellular component organization,197,19.62151394,2.22E-17,"CPNE5, DIXDC1, FNBP1L, MKI67, ANTXR1, EPS8, SYNGAP1, OPHN1, MYC, DPYSL3, CHEK1, STMN1, ARFIP2, SOX9, UNC13B, WDHD1, EPHA7, PRKCE, NSMCE2, CIRBP, HDGFRP3, ACTN4, ACSL3, EML4, SFRP1, CFDP1, KIF20B, EZR, STXBP1, EIF5A2, NEDD4L, LPAR3, UGCG, FLRT2, STXBP6, ATG7, LYN, PLK4, RABGAP1L, H3F3B, BCL11A, PLK2, IGF2, FN1, CDC7, PARVA, SNAP91, NET1, COL1A1, CCT6A, MEX3B, VANGL2, PEMT, EZH2, DDR1, ROBO2, CDKN1C, CDKN1B, TGFB1I1, ELN, GRIK5, STON1, TCF21, KIF11, BRCA1, PTPRF, PTMS, ROBO1, SIPA1L1, GLIPR2, HEY2, NCS1, ATPIF1, TET1, DYNLL1, SREBF2, MTSS1, CIT, MMP14, NOV, CTTN, KIFC1, RHOJ, ARHGEF2, DBN1, PTN, FSTL4, NKD2, SPP1, GPC3, PLAGL2, RUNX1T1, NPM1, ATAD2, WTIP, DCBLD2, CENPE, CCDC8, TACC3, AGRN, MAD2L1, SEMA5A, SCARB1, HJURP, BUB1B, CELSR1, IGF1R, D7ERTD443E, SALL1, CAPN6, PTTG1, CFL1, NUSAP1, TMSB10, POSTN, SEMA6A, STX8, VRK1, MID1, EEF1A1, FSCN1, PHLDB2, MAD1L1, DNMT1, KCNE1, BHLHB9, NTM, INSIG1, ARHGAP18, PLD1, RTN4, CORO1C, SOCS2, BCL2L11, ZMAT3, EIF4EBP1, BMF, EVI5, MYH10, PLXNA3, STIL, UBE2C, TNK2, DSTN, ARHGAP28, SMAD6, BMP7, PAN2, PTPRD, SDK1, CNOT6, PAN3, COL5A1, BMP10, COL14A1, HMGB1, PPP1R9A, WISP1, TRO, NCK2, YWHAH, CAMK1D, APAF1, SHROOM2, VPS37B, TBC1D1, SFPQ, PSRC1, ESPL1, SYNPO2L, DNAJC6, BIRC5, IFT46, DOCK1, UHRF1, SRC, NRXN3, PDXP, TULP1, HDAC8, AURKB, SLITRK2, ERBB2, TBX20, SH3BP4, SLITRK5, NCAM1, SLIT3, SLIT2, HNRNPA1, WASF1, TCF7L2, CTCFL, CD24A, SPRY2, STUB1, VIM",819,2399,17911,1.795857655,1.48E-13,2.46E-14,2.28E-14
GOTERM_BP_FAT,GO:0007067~mitotic nuclear division,63,6.274900398,1.26E-16,"CDKN1C, CDKN1B, ZWILCH, NCAPG2, CEP164, CETN3, BUB1B, KIF11, SMC4, IGF1R, SMC2, EPS8, PTTG1, MIS18BP1, CHEK1, NUSAP1, MYBL2, CEP55, HELLS, NSMCE2, KIF23, VRK1, KIF22, CIT, CCNA2, ASPM, PSRC1, ESPL1, KIFC1, INCENP, BIRC5, FAM64A, KIF2C, ARHGEF2, KIF20B, MAD1L1, CDCA2, CDCA3, CDCA8, KLHL13, NSL1, AURKB, NCAPH, AURKA, DSN1, RACGAP1, CENPT, TCF7L1, STIL, SPAG5, UBE2C, IGF2, BMP7, ANLN, TPX2, CENPE, APITD1, CDK2, TACC3, CDK1, SPC24, SPC25, MAD2L1",819,418,17911,3.296098638,7.40E-13,1.20E-13,1.11E-13
GOTERM_BP_FAT,GO:0007067~mitotic nuclear division,63,6.274900398,1.26E-16,"CDKN1C, CDKN1B, ZWILCH, NCAPG2, CEP164, CETN3, BUB1B, KIF11, SMC4, IGF1R, SMC2, EPS8, PTTG1, MIS18BP1, CHEK1, NUSAP1, MYBL2, CEP55, HELLS, NSMCE2, KIF23, VRK1, KIF22, CIT, CCNA2, ASPM, PSRC1, ESPL1, KIFC1, INCENP, BIRC5, FAM64A, KIF2C, ARHGEF2, KIF20B, MAD1L1, CDCA2, CDCA3, CDCA8, KLHL13, NSL1, AURKB, NCAPH, AURKA, DSN1, RACGAP1, CENPT, TCF7L1, STIL, SPAG5, UBE2C, IGF2, BMP7, ANLN, TPX2, CENPE, APITD1, CDK2, TACC3, CDK1, SPC24, SPC25, MAD2L1",819,418,17911,3.296098638,7.40E-13,1.20E-13,1.11E-13
GOTERM_BP_FAT,GO:0007399~nervous system development,187,18.62549801,2.05E-16,"SEMA5A, CPNE5, TNC, DIXDC1, RORB, CELSR1, SLC8A1, IGF1R, SALL1, ALCAM, SYNGAP1, OPHN1, BASP1, MYC, INSC, CFL1, STMN1, DPYSL3, SOX9, PITX2, RGS6, SOX4, SOX5, CDON, UNC13B, EPHA7, POSTN, SMARCC1, SEMA6A, SLC6A17, UNC5B, HDGFRP3, SOX11, SOX12, ACSL3, FOXP2, EEF1A1, CLDN5, SFRP1, FANCD2, ROR1, ROR2, KIF20B, NPTXR, PPIA, MEG3, CASZ1, BEX1, BHLHB9, NTM, FUT10, STXBP1, SLC1A3, NEDD4L, LPAR3, CPLX2, PCDH18, RTN4, ZFP36L1, STK3, SOCS2, BCL2L11, RACGAP1, FLRT2, PRDM16, TSPAN2, ECT2, ATG7, MYH10, PLXNA3, LYN, STIL, FZD2, BCL11B, H3F3B, BCL11A, PLK2, PBX3, FN1, SMARCA1, BMP7, PBX1, SNAP91, PTPRD, SDK1, CDK6, VANGL2, ID2, DLG5, GNB4, HNRNPD, STRN, ITM2A, SDK2, EZH2, DDR1, CDKN1C, ROBO2, B4GALT2, ZFP521, DOCK7, HMGB2, PTPRK, PPP1R9A, GLI3, PTPRF, GLI2, ROBO1, UCHL1, SIPA1L1, MDK, CASP3, HEY2, NCS1, NCK2, CASP2, HMG20A, BBS7, TEAD2, YWHAH, KDM6B, CAMK1D, TGIF2, APAF1, TCF12, H2AFX, MKL1, SHROOM2, EN1, NAV1, NAV2, PTBP2, MTSS1, CIT, ASPM, MMP14, TUBB2B, CTTN, RTN4RL1, ALDH1A2, CDH11, ITGA8, EXOC4, ARHGEF2, ISPD, PAFAH1B3, DBN1, ZFP423, SRC, NRXN3, PTN, PRICKLE1, TULP1, FSTL4, THBS4, AURKA, SLITRK2, ERBB4, ERBB2, TBX20, SPP1, IGF2BP1, E2F1, GPC2, SLITRK5, NCAM1, SLIT3, SLIT2, RUNX1T1, SMARCE1, FARP1, TCF7L2, GDF11, RRM1, VEGFC, LAMB1, GATAD2A, CD24A, REST, COL3A1, MEIS1, KIF26B, TACC3, VIM, ATXN10, AGRN, SSBP3",819,2261,17911,1.80874347,1.48E-12,1.71E-13,1.58E-13
