"","gene_id","gene","value_1","value_2","log2.fold_change.","p_value","q_value"
"106","XLOC_000106","Plekhb2",22.5679,73.5683,1.70481,5e-05,0.00106929
"127","XLOC_000127","Mrpl30",46.4547,133.038,1.51794,5e-05,0.00106929
"199","XLOC_000199","Coq10b",11.0583,53.3,2.26901,5e-05,0.00106929
"214","XLOC_000214","Aox1",1.18858,7.09136,2.57682,5e-05,0.00106929
"221","XLOC_000221","Ndufb3",100.609,265.235,1.39851,5e-05,0.00106929
"398","XLOC_000398","Sp100",2.13489,100.869,5.56218,5e-05,0.00106929
"454","XLOC_000454","Cxcr7",4.95844,32.2753,2.70247,5e-05,0.00106929
"459","XLOC_000459","Lrrfip1",118.997,24.6402,-2.27184,5e-05,0.00106929
"461","XLOC_000461","Ramp1",13.2076,0.691287,-4.25594,5e-05,0.00106929
"477","XLOC_000477","Gpc1",51.2062,185.329,1.8557,5e-05,0.00106929
