Category,Term,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR
GOTERM_CC_FAT,GO:0005739~mitochondrion,263,25.50921435,1.91E-50,"ISCA1, TFRC, ISOC2A, CISD1, ATP5C1, CISD2, GHITM, ALKBH7, LACTB, SCP2, FTH1, BSG, CDK5RAP1, LONP1, MLYCD, ACAD11, GLUL, PDK2, IER3, ACAD12, PDHX, GSTK1, GABARAPL1, ACSL1, ECH1, BCS1L, CLPX, CYP27A1, GNPAT, ETHE1, CLPP, FDX1, DDIT4, TMEM126A, UQCRC1, SUCLG1, MMADHC, ATP5S, MAOB, ATP5K, TMTC1, PPL, ATP5L, PRDX3, 2410015M20RIK, LDHB, ADH1, LDHD, RHBDL3, DECR1, DMPK, PRDX6, VASN, CS, MRPL30, ALDH6A1, OGDH, ECHDC3, MRPS16, MRPS14, MRPL37, COX7C, D10JHU81E, MRPL41, AUH, ACADM, CD36, DLAT, CTSD, CTSB, CBR2, GM10250, COX8B, SIRT5, TIMM23, TFB2M, COQ10B, PTGR2, COQ10A, HADHB, IMMP1L, MRPL50, 2010107E04RIK, SDHAF2, BDH1, L2HGDH, ALDOA, DLD, ATPAF1, PLIN5, GSTP1, DLST, UQCR11, FITM2, NOL3, TRAK2, PDPR, SAMM50, TMEM65, MFN1, MFN2, CBR4, VDAC3-PS1, ATAD1, SLC16A1, MDH1, STAT3, G0S2, COX6C, AK157302, GCK, DHRS4, ALDH4A1, PDP2, NUDT8, GPAM, LYRM5, TRMT5, 0610009O20RIK, RTN4IP1, TOMM5, NDUFA13, SLC27A1, NDUFA11, TACO1, GM561, NDUFA10, GM1818, CPOX, OGDHL, COX6A2, CLU, TMEM143, TXN2, PROSC, AKR7A5, CHCHD1, NUDT13, PHYH, AGTPBP1, DGAT2, ABCA8A, PPTC7, ABCA8B, GPT2, ACOT13, SDHB, TUFM, SLC9A6, GPD1, FKBP4, ISCU, NDUFB10, FECH, UQCRB, NDUFB11, AK4, HIGD1A, COX7A1, ACACB, ADAP2, PSAP, CYC1, GM9755, NDUFV3, NDUFV2, MPST, PRNP, PDHA1, BDNF, GOT2, CHCHD10, SYNJ2, DNAJC15, COQ7, COQ5, COQ3, MAVS, AMACR, P4HA1, PXMP2, CYCS, ACADVL, ABCD2, ALAS2, ALAS1, PTEN, SQRDL, ATP5G3, ETFB, DUSP18, ATP5G1, HK2, MRPL4, MRPL1, CPT2, SPR, ALDH2, OPA3, DBT, ME1, UQCRFS1, ME3, ABCD1, IDH3A, BCKDHA, GLRX5, SORD, ATP5F1, QRSL1, UGT1A6A, MUT, NDUFS7, ACOX1, NDUFS6, OAS2, NDUFS5, CAT, NDUFS3, MTFR1, SLC25A11, ATG4D, SLC25A13, BCAT2, NDUFB9, NDUFB8, NDUFB7, NDUFB6, MTFP1, NDUFB5, NDUFB4, NDUFB3, LRP5, ETFDH, PPM1K, CKMT2, SLC25A29, PLN, OXCT1, P2RY2, P2RY1, SLC25A20, ACSS1, NDUFA9, PTCD3, NDUFA8, MMAA, NDUFA4, NDUFA3, BNIP3, NDUFA2, NDUFA1, 2310002L09RIK, PTPN11, SOD2, SUOX, PINK1, SUCLA2, DNAJA3, SLC25A34, LPIN1, MMACHC, SLC25A33",838,1792,14413,2.524225276,1.32E-47,1.32E-47,1.18E-47
GOTERM_CC_FAT,GO:0044429~mitochondrial part,166,16.10087294,6.52E-45,"SLC27A1, NDUFA13, ISCA1, NDUFA11, NDUFA10, CISD1, GM1818, CPOX, ATP5C1, CISD2, GHITM, ALKBH7, COX6A2, CLU, SCP2, LONP1, MLYCD, ACAD11, CHCHD1, PDK2, PDHX, GSTK1, ABCA8A, ACSL1, ABCA8B, BCS1L, SDHB, CLPX, TUFM, CYP27A1, ETHE1, CLPP, FDX1, UQCRC1, TMEM126A, SUCLG1, ISCU, ATP5S, FECH, MAOB, UQCRB, NDUFB10, NDUFB11, ATP5K, AK4, HIGD1A, COX7A1, ATP5L, 2410015M20RIK, ADAP2, LDHD, CYC1, NDUFV3, RHBDL3, NDUFV2, MPST, PRNP, PDHA1, DMPK, BDNF, GOT2, CHCHD10, SYNJ2, DNAJC15, COQ7, COQ5, CS, MRPL30, COQ3, MAVS, OGDH, CYCS, ACADVL, ALAS2, ALAS1, MRPS16, MRPS14, SQRDL, ATP5G3, DUSP18, MRPL37, ETFB, COX7C, ATP5G1, HK2, MRPL41, MRPL1, CPT2, ALDH2, DBT, UQCRFS1, ME3, DLAT, ACADM, BCKDHA, CBR2, GM10250, COX8B, GLRX5, SORD, TIMM23, SIRT5, TFB2M, ATP5F1, COQ10B, UGT1A6A, MUT, HADHB, IMMP1L, 2010107E04RIK, SDHAF2, NDUFS7, BDH1, NDUFS6, NDUFS5, CAT, NDUFS3, SLC25A11, DLD, ATG4D, SLC25A13, NDUFB9, NDUFB8, NDUFB7, MTFP1, NDUFB6, NDUFB5, NDUFB4, NDUFB3, ETFDH, UQCR11, PPM1K, CKMT2, SLC25A29, PDPR, SAMM50, PLN, OXCT1, MFN1, MFN2, SLC25A20, ACSS1, CBR4, VDAC3-PS1, NDUFA9, NDUFA8, NDUFA4, NDUFA3, BNIP3, NDUFA2, STAT3, NDUFA1, COX6C, SOD2, SUOX, AK157302, ALDH4A1, PINK1, GPAM, TRMT5, DNAJA3, RTN4IP1, SLC25A34, LPIN1, SLC25A33, TOMM5",838,870,14413,3.281702466,4.52E-42,2.26E-42,2.02E-42
GOTERM_CC_FAT,GO:0005740~mitochondrial envelope,123,11.93016489,2.77E-32,"SLC27A1, NDUFA13, NDUFA11, NDUFA10, CISD1, CPOX, ATP5C1, CISD2, GHITM, COX6A2, CLU, SCP2, ACAD11, GSTK1, ABCA8A, ACSL1, ABCA8B, BCS1L, SDHB, CLPX, TUFM, CYP27A1, FDX1, UQCRC1, TMEM126A, SUCLG1, ATP5S, FECH, MAOB, UQCRB, NDUFB10, NDUFB11, ATP5K, HIGD1A, COX7A1, ATP5L, 2410015M20RIK, ADAP2, LDHD, CYC1, NDUFV3, RHBDL3, NDUFV2, MPST, PRNP, DMPK, BDNF, GOT2, CHCHD10, SYNJ2, DNAJC15, COQ7, COQ5, COQ3, MAVS, OGDH, CYCS, ACADVL, ALAS2, SQRDL, ATP5G3, DUSP18, COX7C, ATP5G1, HK2, CPT2, UQCRFS1, ACADM, GM10250, COX8B, SORD, TIMM23, SIRT5, ATP5F1, COQ10B, UGT1A6A, HADHB, IMMP1L, 2010107E04RIK, NDUFS7, BDH1, NDUFS6, NDUFS5, CAT, NDUFS3, SLC25A11, SLC25A13, NDUFB9, NDUFB8, NDUFB7, MTFP1, NDUFB6, NDUFB5, NDUFB4, NDUFB3, ETFDH, UQCR11, CKMT2, SLC25A29, SAMM50, PLN, MFN1, MFN2, SLC25A20, VDAC3-PS1, NDUFA9, NDUFA8, NDUFA4, NDUFA3, BNIP3, NDUFA2, STAT3, NDUFA1, COX6C, SOD2, SUOX, PINK1, GPAM, RTN4IP1, SLC25A34, LPIN1, SLC25A33, TOMM5",838,652,14413,3.244650204,1.92E-29,4.73E-30,4.23E-30
GOTERM_CC_FAT,GO:0005743~mitochondrial inner membrane,96,9.311348206,2.80E-32,"ALAS2, SLC27A1, ACADVL, NDUFA13, NDUFA11, NDUFA10, ATP5C1, CPOX, SQRDL, GHITM, ATP5G3, DUSP18, ATP5G1, COX6A2, COX7C, CPT2, UQCRFS1, GM10250, GSTK1, COX8B, ABCA8A, ABCA8B, TIMM23, SIRT5, BCS1L, ATP5F1, COQ10B, UGT1A6A, SDHB, CLPX, TUFM, CYP27A1, HADHB, IMMP1L, 2010107E04RIK, NDUFS7, BDH1, NDUFS6, NDUFS5, FDX1, UQCRC1, TMEM126A, NDUFS3, SUCLG1, SLC25A11, SLC25A13, ATP5S, NDUFB9, NDUFB8, NDUFB7, MAOB, NDUFB6, MTFP1, FECH, UQCRB, NDUFB10, NDUFB11, NDUFB5, NDUFB4, NDUFB3, ETFDH, ATP5K, UQCR11, HIGD1A, COX7A1, ATP5L, CKMT2, 2410015M20RIK, SLC25A29, SAMM50, LDHD, CYC1, SLC25A20, NDUFV3, NDUFV2, RHBDL3, NDUFA9, MPST, NDUFA8, BDNF, NDUFA4, NDUFA3, NDUFA2, STAT3, GOT2, NDUFA1, SOD2, COX6C, DNAJC15, COQ7, COQ5, COQ3, PINK1, GPAM, SLC25A34, SLC25A33",838,415,14413,3.978629554,1.95E-29,4.73E-30,4.23E-30
GOTERM_CC_FAT,GO:0031966~mitochondrial membrane,118,11.44519884,3.41E-32,"SLC27A1, NDUFA13, NDUFA11, NDUFA10, CISD1, CPOX, ATP5C1, CISD2, GHITM, COX6A2, CLU, SCP2, ACAD11, GSTK1, ABCA8A, ACSL1, ABCA8B, BCS1L, SDHB, CLPX, TUFM, CYP27A1, FDX1, UQCRC1, TMEM126A, SUCLG1, ATP5S, FECH, MAOB, UQCRB, NDUFB10, NDUFB11, ATP5K, HIGD1A, COX7A1, ATP5L, 2410015M20RIK, LDHD, CYC1, NDUFV3, RHBDL3, NDUFV2, MPST, PRNP, DMPK, BDNF, GOT2, SYNJ2, DNAJC15, COQ7, COQ5, COQ3, MAVS, OGDH, ACADVL, ALAS2, SQRDL, ATP5G3, DUSP18, COX7C, ATP5G1, HK2, CPT2, UQCRFS1, ACADM, GM10250, COX8B, SORD, TIMM23, SIRT5, ATP5F1, COQ10B, UGT1A6A, HADHB, IMMP1L, 2010107E04RIK, NDUFS7, BDH1, NDUFS6, NDUFS5, NDUFS3, SLC25A11, SLC25A13, NDUFB9, NDUFB8, NDUFB7, MTFP1, NDUFB6, NDUFB5, NDUFB4, NDUFB3, ETFDH, UQCR11, CKMT2, SLC25A29, SAMM50, PLN, MFN1, MFN2, SLC25A20, VDAC3-PS1, NDUFA9, NDUFA8, NDUFA4, NDUFA3, BNIP3, NDUFA2, STAT3, NDUFA1, COX6C, SOD2, PINK1, GPAM, RTN4IP1, SLC25A34, LPIN1, SLC25A33, TOMM5",838,607,14413,3.343518144,2.37E-29,4.73E-30,4.23E-30
GOTERM_CC_FAT,GO:0019866~organelle inner membrane,98,9.505334627,2.32E-29,"SLC27A1, NDUFA13, NDUFA11, NDUFA10, CPOX, ATP5C1, GHITM, COX6A2, GSTK1, ABCA8A, ABCA8B, BCS1L, SDHB, CLPX, TUFM, CYP27A1, FDX1, UQCRC1, TMEM126A, SUCLG1, ATP5S, FECH, MAOB, UQCRB, NDUFB10, NDUFB11, ATP5K, HIGD1A, COX7A1, ATP5L, 2410015M20RIK, LDHD, CYC1, NDUFV3, RHBDL3, NDUFV2, MPST, BDNF, GOT2, DNAJC15, COQ7, COQ5, COQ3, ACADVL, ALAS2, RNF13, SQRDL, ATP5G3, DUSP18, COX7C, ATP5G1, CPT2, UQCRFS1, GM10250, COX8B, TIMM23, SIRT5, ATP5F1, COQ10B, UGT1A6A, HADHB, IMMP1L, 2010107E04RIK, NDUFS7, BDH1, NDUFS6, NDUFS5, NDUFS3, SLC25A11, SLC25A13, NDUFB9, NDUFB8, NDUFB7, MTFP1, NDUFB6, NDUFB5, NDUFB4, NDUFB3, ETFDH, UQCR11, CKMT2, SLC25A29, SAMM50, SLC25A20, NDUFA9, NDUFA8, NDUFA4, NDUFA3, NDUFA2, STAT3, NDUFA1, COX6C, SOD2, PINK1, P2RX5, GPAM, SLC25A34, SLC25A33",838,467,14413,3.609271591,1.61E-26,2.68E-27,2.40E-27
GOTERM_CC_FAT,GO:0044455~mitochondrial membrane part,60,5.819592629,1.37E-26,"NDUFA13, NDUFA11, NDUFA10, ATP5C1, ATP5G3, DUSP18, ATP5G1, COX6A2, COX7C, SCP2, UQCRFS1, GM10250, COX8B, TIMM23, ATP5F1, SDHB, IMMP1L, 2010107E04RIK, NDUFS7, BDH1, NDUFS6, NDUFS5, FDX1, UQCRC1, NDUFS3, NDUFB9, NDUFB8, NDUFB7, NDUFB6, UQCRB, NDUFB10, NDUFB11, NDUFB5, NDUFB4, NDUFB3, ETFDH, ATP5K, COX7A1, ATP5L, 2410015M20RIK, SAMM50, MFN2, CYC1, NDUFV3, NDUFV2, NDUFA9, NDUFA8, DMPK, BDNF, NDUFA4, BNIP3, NDUFA3, NDUFA2, NDUFA1, SYNJ2, COQ7, COQ5, COQ3, PINK1, TOMM5",838,199,14413,5.185713772,9.50E-24,1.36E-24,1.21E-24
GOTERM_CC_FAT,GO:0098798~mitochondrial protein complex,54,5.237633366,1.93E-26,"NDUFA13, NDUFA11, NDUFA10, ATP5C1, ATP5G3, ETFB, ATP5G1, COX6A2, COX7C, UQCRFS1, DLAT, PDK2, BCKDHA, GM10250, COX8B, TIMM23, ATP5F1, SDHB, CLPX, HADHB, IMMP1L, 2010107E04RIK, NDUFS7, NDUFS6, NDUFS5, UQCRC1, NDUFS3, SUCLG1, NDUFB9, NDUFB8, NDUFB7, NDUFB6, UQCRB, NDUFB10, NDUFB11, NDUFB5, NDUFB4, NDUFB3, ETFDH, ATP5K, ATP5L, 2410015M20RIK, SAMM50, CYC1, NDUFV3, NDUFV2, NDUFA9, NDUFA8, NDUFA4, NDUFA3, NDUFA2, NDUFA1, PINK1, TOMM5",838,161,14413,5.768703954,1.34E-23,1.67E-24,1.50E-24
GOTERM_CC_FAT,GO:1990204~oxidoreductase complex,43,4.17070805,7.62E-26,"NDUFB9, NDUFB8, NDUFA13, NDUFB7, UQCRB, NDUFA11, NDUFB10, NDUFB6, NDUFB11, NDUFB5, NDUFB4, NDUFA10, NDUFB3, DLST, OGDHL, UQCRFS1, DLAT, CYC1, NDUFV3, NDUFV2, CBR4, PDK2, BCKDHA, NDUFA9, PDHX, NDUFA8, PDHA1, NDUFA4, NDUFA3, NDUFA2, NDUFA1, SDHB, NDUFS7, P4HA1, P4HA2, NDUFS6, NDUFS5, GPD1, UQCRC1, OGDH, NDUFS3, GPD1L, DLD",838,101,14413,7.32246745,5.29E-23,5.87E-24,5.25E-24
GOTERM_CC_FAT,GO:0031967~organelle envelope,151,14.64597478,1.57E-25,"SLC27A1, NDUFA13, NDUFA11, NDUFA10, CISD1, CPOX, ATP5C1, CISD2, GHITM, COX6A2, CLU, AQP1, SCP2, KPNA4, TMEM38A, KPNA2, PTGDS, ACAD11, KPNA3, KPNA1, GSTK1, ABCA8A, ACSL1, ABCA8B, BCS1L, SDHB, CLPX, TUFM, CYP27A1, FDX1, UQCRC1, TMEM126A, SUCLG1, ATP5S, FECH, RETSAT, MAOB, UQCRB, NDUFB10, NDUFB11, MGST3, ATP5K, HIGD1A, COX7A1, ATP5L, 2410015M20RIK, ADAP2, LDHD, CYC1, NDUFV3, RHBDL3, NDUFV2, RAP1GAP2, MPST, PRNP, DMPK, BDNF, GOT2, CHCHD10, SYNJ2, DNAJC15, COQ7, IIGP1, COQ5, NR4A1, COQ3, MAVS, OGDH, CYCS, ACADVL, ALAS2, RNF13, MRPS14, SQRDL, ATP5G3, DUSP18, ADRA1A, COX7C, ATP5G1, HK2, CPT2, RB1CC1, UQCRFS1, TMEM109, RRP12, ACADM, GM10250, COX8B, DST, GSTO1, SORD, TIMM23, SIRT5, AEN, ATP5F1, COQ10B, UGT1A6A, HADHB, IMMP1L, 2010107E04RIK, TFDP2, NDUFS7, BDH1, NDUFS6, NDUFS5, CAT, NDUFS3, SLC25A11, SLC25A13, NDUFB9, NDUFB8, NDUFB7, MTFP1, NDUFB6, NDUFB5, NDUFB4, NDUFB3, ETFDH, UQCR11, CKMT2, CST3, SLC25A29, SAMM50, PLN, MFN1, MFN2, SLC25A20, VDAC3-PS1, NDUFA9, POLR2M, NDUFA8, NDUFA4, AI464131, NDUFA3, BNIP3, NDUFA2, STAT3, NDUFA1, COX6C, SOD2, SUOX, SORL1, DHRS4, PINK1, P2RX5, GPAM, RTN4IP1, SLC25A34, LPIN1, SLC25A33, TOMM5",838,1069,14413,2.429459201,1.09E-22,1.09E-23,9.71E-24
